SurgicalService,Name,axa_name,axa_severity,protocolised_adm
Urology,CYSTOSCOPY AND LITHOTRIPSY OF CALCULUS OF BLADDER USING LASER,Endoscopic extraction of calculus of bladder (including cystoscopy),Intermediate,No
Uro-Gynaecology,CYSTOSCOPY AND LITHOTRIPSY OF CALCULUS OF BLADDER USING LASER,Endoscopic extraction of calculus of bladder (including cystoscopy),Intermediate,No
Urology,CYSTOSCOPY AND REMOVAL OF CALCULUS OF BLADDER,Endoscopic extraction of calculus of bladder (including cystoscopy),Intermediate,No
Urology,CYSTOSCOPY AND RETROGRADE PYELOGRAPHY,Endoscopic retrograde pyelography (including bilateral and cystoscopy),Intermediate,No
Urology,CYSTOSCOPY AND TRANSURETHRAL BIOPSY OF BLADDER,Diagnostic endoscopic examination of bladder (flexible cystoscopy) including any biopsy,Minor,No
Urology,CYSTOSCOPY AND TRANSURETHRAL BIOPSY OF PROSTATE,Endoscopic biopsy of prostate (including cystoscopy),Intermediate,No
Urology,CYSTOSCOPY AND TRANSURETHRAL RESECTION OF BLADDER LESION,Endoscopic resection of lesion of bladder (including cystoscopy),Major,No
,CYSTOSCOPY AND TRANSURETHRAL RESECTION OF BLADDER LESION,Endoscopic resection of lesion of bladder (including cystoscopy),Major,No
Urology,CYSTOSCOPY AND TRANSURETHRAL RESECTION OF BLADDER TUMOUR,Endoscopic resection of lesion of bladder (including cystoscopy),Major,No
Urology,CYSTOSCOPY AND URETHRAL DILATATION,Dilatation of urethra (including cystoscopy),Minor,No
,CYSTOSCOPY AND URETHRAL DILATATION,Dilatation of urethra (including cystoscopy),Minor,No
Gynaecology,CYSTOSTOMY AND INSERTION OF SUPRAPUBIC CATHETER,Cystostomy and insertion of suprapubic tube into bladder (including cystoscopy),Intermediate,No
Urology,CYSTOSTOMY AND INSERTION OF SUPRAPUBIC CATHETER,Cystostomy and insertion of suprapubic tube into bladder (including cystoscopy),Intermediate,No
,CYSTOSTOMY AND INSERTION OF SUPRAPUBIC CATHETER,Cystostomy and insertion of suprapubic tube into bladder (including cystoscopy),Intermediate,No
Gynaecology,CYSTOSTOMY WITH INSERTION OF URETERAL CATHETER,Cystostomy and insertion of suprapubic tube into bladder (including cystoscopy),Intermediate,No
Urology,CYSTOURETHRECTOMY,Urethrectomy,Major,No
Urology,CYSTOURETHROSCOPY WITH BIOPSY OF BLADDER,Diagnostic endoscopic examination of bladder (flexible cystoscopy) including any biopsy,Minor,No
Urology,CYSTOURETHROSCOPY WITH DILATION OF URETHRAL STRICTURE,Dilatation of urethra (including cystoscopy),Minor,No
Urology,CYSTOURETHROSCOPY WITH RESECTION OF BLADDER NECK,Resection of bladder neck (including cystoscopy),Intermediate,No
Thoracic Surgery,D1 LYMPH NODE DISSECTION,Laparoscopic retroperitoneal lymph node dissection,Major,Yes
Head and Neck,D3 LYMPH NODE DISSECTION,Radical dissection of cervical lymph nodes,Complex,Yes
,DEBRIDEMENT AND SUTURE,Debridement and primary suture of wound with involvement of deeper tissue - Trunk and Limbs,Intermediate,No
Thoracic Surgery,DEBRIDEMENT AND WASHOUT OF PLEURAL CAVITY,VATS debridement of empyema,Major,Yes
,DEBRIDEMENT OF ABDOMINAL WALL,Debridement and primary suture of wound with involvement of deeper tissue - Trunk and Limbs,Intermediate,No
General Surgery,DEBRIDEMENT OF ABDOMINAL WALL,Debridement and primary suture of wound with involvement of deeper tissue - Trunk and Limbs,Intermediate,No
Head and Neck,DEBRIDEMENT OF INFECTION OF SKIN,Debridement and primary suture of wound with involvement of deeper tissue - Head and Neck,Intermediate,No
,DEBRIDEMENT OF SKIN AND SUBCUTANEOUS TISSUE,Debridement and primary suture of wound without involvement of deeper tissue (skin and subcutaneous fat only) - Trunk and Limbs,Intermediate,No
Head and Neck,DEBRIDEMENT OF SKIN OF NECK,Debridement and primary suture of wound with involvement of deeper tissue - Head and Neck,Intermediate,No
Head and Neck,"DEBRIDEMENT OF SKIN, SUBCUTANEOUS TISSUE, MUSCLE AND BONE",Debridement and primary suture of wound with involvement of deeper tissue - Head and Neck,Intermediate,No
,"DEBRIDEMENT OF SKIN, SUBCUTANEOUS TISSUE, MUSCLE AND BONE",Debridement and primary suture of wound with involvement of deeper tissue - Trunk and Limbs,Intermediate,No
Urology,DEBRIDEMENT OF SOFT TISSUE,Debridement and primary suture of wound without involvement of deeper tissue (skin and subcutaneous fat only) - Head and Neck,Intermediate,No
Orthopaedics,DEBRIDEMENT OF WOUND OF SKIN,Debridement and primary suture of wound with involvement of deeper tissue - Trunk and Limbs,Intermediate,No
Head and Neck,DEBRIDEMENT OF WOUND OF SKIN,Debridement and primary suture of wound with involvement of deeper tissue - Trunk and Limbs,Intermediate,No
,DEBRIDEMENT OF WOUND OF SKIN,Debridement and primary suture of wound with involvement of deeper tissue - Trunk and Limbs,Intermediate,No
Urology,DEBRIDEMENT OF WOUND OF SKIN,Debridement and primary suture of wound with involvement of deeper tissue - Trunk and Limbs,Intermediate,No
Gynaecology,DEBULKING OF NEOPLASM OF ABDOMINAL CAVITY,Anterior exenteration of pelvis,Complex,Yes
Gynaecology Oncology,DEBULKING OF NEOPLASM OF OVARY,"Open oophorectomy and salpingectomy, +/- biopsy eg. omentum, peritoneum, lymph node (as sole procedure) - unilateral",Major,Yes
Gynaecology,DEBULKING OF NEOPLASM OF OVARY,"Open oophorectomy and salipingectomy, +/- biopsy e.g. omentum, peritoneum, lymph node (as sole procedure) - bilateral",Major,Yes
Gynaecology,DEBULKING OF PELVIC TUMOUR,Total exenteration of pelvis,Complex,Yes
Orthopaedics,DECOMPRESSION OF BONE FOURAGE,Core decompression of hip,Major,No
,DECOMPRESSION OF MEDIAN NERVE,Release of entrapment of peripheral nerve,Intermediate,No
Orthopaedics,DECOMPRESSION OF NERVE VIA SUBCLAVIAN APPROACH,Release of entrapment of peripheral nerve,Intermediate,No
Orthopaedics,DECOMPRESSION OF ULNAR NERVE,Release of entrapment of peripheral nerve,Intermediate,No
Orthopaedics,DECOMPRESSION OF ULNAR NERVE AT ELBOW,Release of entrapment of peripheral nerve,Intermediate,No
Orthopaedics,DECOMPRESSION OPERATION,-,Major,No
Thoracic Surgery,DECORTICATION,Decortication of pleura of lung,Complex,Yes
Thoracic Surgery,DECORTICATION OF LUNG,Decortication of pleura of lung,Complex,Yes
Gynaecology,DEFIBULATION OF VULVA,Simple vulvectomy,Major,No
Breast Surgery,DELAYED SUTURING OF BREAST,Excision of breast lump/fibroadenoma,Intermediate,No
Colorectal Surgery,"DELORME OPERATION, PROCTOPEXY",Fixation of rectum for prolapse,Major,No
General Surgery,"DELORME OPERATION, PROCTOPEXY",Fixation of rectum for prolapse,Major,No
Head and Neck,DENTAL ALVEOPLASTY,Alveolar bone graft - unilateral,Intermediate,No
Head and Neck,DENTAL SURGICAL PROCEDURE,Surgical removal of impacted/buried tooth/teeth,Intermediate,No
Maxillo-Facial Surgery,DENTAL SURGICAL PROCEDURE,Surgical removal of impacted/buried tooth/teeth,Intermediate,No
Head and Neck,"DENTOALVEOLAR BONE REPLACEMENT GRAFT, SINGLE SITE, INCLUDING FLAP ENTRY AND CLOSURE",Alveolar bone graft - unilateral,Intermediate,Yes
Maxillo-Facial Surgery,DERMAL-FAT SKIN GRAFT,"Full thickness graft, head, neck, hands and genitalia ? up to 9cm2 in area",Major,No
Head and Neck,DERMAL-FAT SKIN GRAFT,"Full thickness graft, head, neck, hands and genitalia ? up to 9cm2 in area",Major,No
,DESTRUCTION OF HAEMORRHOIDS BY SCLEROTHERAPY,Haemorrhoidectomy (including sigmoidoscopy),Intermediate,No
Head and Neck,DESTRUCTION OF LESION OF FLOOR OF MOUTH,"Therapeutic Panendoscopy +/- excision biopsy, excision or destruction of lesions",Intermediate,No
ENT,DESTRUCTION OF LESION OF NOSE,Excision of lesion of internal nose,Minor,No
Head and Neck,DESTRUCTION OF LESION OF PALATE,Excision/destruction of lesion of palate,Intermediate,No
Head and Neck,DESTRUCTION OF LESION OF TONGUE,"Therapeutic Panendoscopy +/- excision biopsy, excision or destruction of lesions",Intermediate,No
Head and Neck,DESTRUCTION OF PHARYNGEAL LESION,Removal of lesion of para-pharyngeal space,Major,No
,DETORSION OF OVARY,"Laparoscopy and therapeutic procedures (including laser, diathermy and destruction e.g. endometriosis, adhesiolysis, tubal and ovarian surgery, +/-ureterolysis)",Major,No
Orthopaedics,DIAGNOSTIC ARTHROSCOPY OF SHOULDER JOINT,"Diagnostic arthroscopic examination of shoulder joint, with or without biopsy (as sole procedure)",Intermediate,No
Orthopaedics,DIAGNOSTIC ARTHROSCOPY OF SHOULDER WITH SYNOVIAL BIOPSY,"Diagnostic arthroscopic examination of shoulder joint, with or without biopsy (as sole procedure)",Intermediate,No
Maxillo-Facial Surgery,DIAGNOSTIC ARTHROSCOPY OF TEMPOROMANDIBULAR JOINT,Therapeutic arthroscopic operation of temporomandibular joint +/- lysis and/or lavage -unilateral,Intermediate,No
Gynaecology,DIAGNOSTIC CYSTOSCOPY,Diagnostic ureterorenoscopy (+/- cystoscopy),Minor,No
Urology,DIAGNOSTIC CYSTOSCOPY,Diagnostic ureterorenoscopy (+/- cystoscopy),Minor,No
Urology,DIAGNOSTIC CYSTOSCOPY AND BLADDER BIOPSY,Diagnostic endoscopic examination of bladder (flexible cystoscopy) including any biopsy,Minor,No
Urology,DIAGNOSTIC ENDOSCOPIC EXAMINATION OF BLADDER AND BIOPSY OF LESION OF PROSTATE,Endoscopic resection of lesion of bladder (including cystoscopy),Major,No
Head and Neck,DIAGNOSTIC ENDOSCOPIC EXAMINATION OF NASAL CAVITY,"Diagnostic nasolaryngopharyngoscopy +/- biopsy, +/- cautery as sole procedure",Minor,No
Head and Neck,DIAGNOSTIC ENDOSCOPIC EXAMINATION OF NASAL CAVITY AND BIOPSY OF LESION OF NASAL CAVITY,"Therapeutic Panendoscopy +/- excision biopsy, excision or destruction of lesions",Intermediate,No
ENT,DIAGNOSTIC ENDOSCOPIC EXAMINATION OF NASAL CAVITY AND BIOPSY OF LESION OF NASAL CAVITY,"Therapeutic Panendoscopy +/- excision biopsy, excision or destruction of lesions",Intermediate,No
Head and Neck,DIAGNOSTIC ENDOSCOPY OF NOSE AND SINUSES,Diagnostic endoscopy of sinus and bilateral (as sole procedure),Minor,No
General Surgery,DIAGNOSTIC LAPAROSCOPY,Diagnostic laparoscopy (including any biopsy),Intermediate,No
Upper Gastro-intestinal Surgery,DIAGNOSTIC LAPAROSCOPY,Diagnostic laparoscopy (including any biopsy),Intermediate,No
Colorectal Surgery,DIAGNOSTIC LAPAROSCOPY,Diagnostic laparoscopy (including any biopsy),Intermediate,No
Bariatrics,DIAGNOSTIC LAPAROSCOPY,Diagnostic laparoscopy (including any biopsy),Intermediate,No
,DIAGNOSTIC LAPAROSCOPY,Diagnostic laparoscopy (including any biopsy),Intermediate,No
Gynaecology,DIAGNOSTIC LAPAROSCOPY,Diagnostic laparoscopy (including any biopsy),Intermediate,No
Gynaecology,DIAGNOSTIC LAPAROSCOPY OF FEMALE PELVIS,"Laparoscopy and therapeutic procedures (including laser, diathermy and destruction e.g. endometriosis, adhesiolysis, tubal and ovarian surgery, +/-ureterolysis)",Major,No
Head and Neck,DIAGNOSTIC MICROLARYNGOSCOPY AND BIOPSY,"Microlaryngoscopy/laryngoscopy +/- biopsy, excision of lesion, polyp or cyst",Intermediate,No
,DIAGNOSTIC MICROLARYNGOSCOPY AND BIOPSY,"Microlaryngoscopy/laryngoscopy +/- biopsy, excision of lesion, polyp or cyst",Intermediate,No
Head and Neck,DIAGNOSTIC PHARYNGOSCOPY,Panendoscopy +/- incisional biopsy,Intermediate,No
Thoracic Surgery,DIAGNOSTIC RIGID BRONCHOSCOPY,Therapeutic bronchoscopy for removal of foreign body,Minor,No
Urology,DIAGNOSTIC URETERORENOSCOPY,Diagnostic ureterorenoscopy (+/- cystoscopy),Minor,No
Urology,DIAGNOSTIC URETHROSCOPY,Diagnostic ureterorenoscopy (+/- cystoscopy),Minor,No
Orthopaedics,DIGITAL FASCIECTOMY,Dupuytren’s fasciectomy single digit with proximal interphalangeal joint,Intermediate,No
General Surgery,DILATATION OF RECTAL STRICTURE,Dilation of stricture of rectum,Minor,No
Urology,DILATATION OF URETHRA,Dilatation of urethra (including cystoscopy),Minor,No
Urology,DILATATION OF URETHRAL MEATUS,Dilatation of urethra (including cystoscopy),Minor,No
Urology,DILATION OF BLADDER NECK,Dilatation of outlet of female bladder (with cystoscopy),Minor,No
Head and Neck,DILATION OF PHARYNX,Therapeutic endoscopic operation on pharynx,Minor,No
Urology,DILATION OF VAGINA,Incision of introitus of vagina,Minor,No
Gynaecology Oncology,DISSECTION PROCEDURE,-,Unknown,No
ENT,DISSECTION TONSILLECTOMY,"Tonsillectomy - adult, age 13 + (and bilateral)",Intermediate,No
Upper Gastro-intestinal Surgery,DISTAL SUBTOTAL GASTRECTOMY,Partial gastrectomy,Xmajor,Yes
General Surgery,DIVISION OF ADHESIONS,Freeing of adhesions of peritoneum,Major,No
,DIVISION OF FASCIA OF FINGER FOR DUPUYTREN CONTRACTURE,Dupuytren’s fasciectomy single digit with proximal interphalangeal joint,Intermediate,No
Head and Neck,DIVISION OF FLAP,Distant flap ? delay/division/inset,Major,Yes
Maxillo-Facial Surgery,DIVISION OF JAW,Extensive segmental excision of mandible,Xmajor,No
Orthopaedics,DIVISION OF JOINT CAPSULE OF SHOULDER,Therapeutic arthroscopy of shoulder (as sole procedure),Major,No
Urology,DIVISION OF LIGAMENT,-,Intermediate,No
Orthopaedics,DIVISION OF SCAPULA,-,Major,No
Gynaecology,DIVISION OF VAGINAL SEPTUM,Excision of septum of vagina,Intermediate,No
Urology,DORSAL SLITTING OF PREPUCE,Revision of Circumcision,Intermediate,No
Thoracic Surgery,DRAINAGE OF PLEURAL CAVITY,Drainage of pleural cavity,Minor,No
,DRESSING AND FIXATION PROCEDURE,-,Minor,No
Bariatrics,DUODENAL SWITCH,Partial gastrectomy and excision of surrounding tissue,Complex,Yes
ENT,ELECTROCOAGULATION OF NOSE FOR EPISTAXIS,"Diagnostic nasolaryngopharyngoscopy +/- biopsy, +/- cautery as sole procedure",Minor,No
Urology,ELECTROEJACULATION PROCEDURE,-,Minor,No
Vascular Surgery,ENDARTERECTOMY AND ANGIOPLASTY OF COMMON FEMORAL ARTERY WITH PROSTHESIS,"Angioplasty of other arteries (e.g. sub-clavian, tibial, femoro-popliteal) including peripheral angiogram +/- insertion of stent",Major,No
Bronchoscopy/Thoracoscopy,ENDOBRONCHIAL ULTRASOUND GUIDED BIOPSY OF MEDIASTINAL LYMPH NODE (EBUS),Endobronchial ultrasound-guided transbronchial needle aspiration (EBUS-TBNA) for mediastinal masses,Major,No
,ENDOBRONCHIAL ULTRASOUND GUIDED BIOPSY OF MEDIASTINAL LYMPH NODE (EBUS),Endobronchial ultrasound-guided transbronchial needle aspiration (EBUS-TBNA) for mediastinal masses,Major,No
Gynaecology,ENDOMETRIAL BIOPSY,"Hysteroscopy (including biopsy, dilatation, curettage and resection of polyp(s) +/- Mirena coil insertion)",Intermediate,No
Gynaecology,ENDOMETRIAL RESECTION,Therapeutic hysteroscopic operations on uterus (including endometrial ablation excluding microwave or radiofrequency ablation) +/- Mirena coil insertion,Major,No
Head and Neck,ENDOSCOPIC BIOPSY,Panendoscopy +/- incisional biopsy,Intermediate,No
Bronchoscopy/Thoracoscopy,ENDOSCOPIC BRONCHOPLASTY,"Therapeutic bronchoscopy (including laser, cryotherapy, lavage, snare, dilatation of stricture, insertion of stent)",Minor,No
ENT,ENDOSCOPIC ETHMOIDECTOMY,"FESS Uncinectomy, ethmoidectomy, antrostomy or antral puncture inc polypectomy and attention to turbinates etc",Major,No
Head and Neck,ENDOSCOPIC EXCISION OF LESION OF INTERNAL NOSE,Excision of lesion of internal nose,Minor,No
ENT,ENDOSCOPIC EXCISION OF LESION OF INTERNAL NOSE,Excision of lesion of internal nose,Minor,No
Head and Neck,ENDOSCOPIC EXCISION OF RIGHT LOBE OF THYROID GLAND,Total thyroid lobectomy and isthmectomy,Major,No
General Surgery,ENDOSCOPIC EXCISION OF RIGHT LOBE OF THYROID GLAND,Partial thyroidectomy (not elsewhere classified),Major,No
Head and Neck,ENDOSCOPIC EXTIRPATION OF LESION OF OROPHARYNX,"Therapeutic Panendoscopy +/- excision biopsy, excision or destruction of lesions",Intermediate,No
Head and Neck,ENDOSCOPIC FIBREOPTIC LASER DESTRUCTION OF LESION BELOW TRACHEA,"Therapeutic bronchoscopy (including laser, cryotherapy, lavage, snare, dilatation of stricture, insertion of stent)",Minor,No
Urology,ENDOSCOPIC INSERTION OF URETHRAL STENT,Therapeutic ureterorenoscopy (+/- cystoscopy and insertion/removal of stent),Minor,No
Urology,ENDOSCOPIC LASER FRAGMENTATION OF RENAL CALCULUS,Holmium Laser Lithotripsy for calculi of ureter (including cystoscopy and insertion/removal of stent),Major,No
Upper Gastro-intestinal Surgery,ENDOSCOPIC OPERATION,Therapeutic oesophago-gastro-duodenoscopy (OGD) with insertion of prosthesis,Intermediate,No
Head and Neck,ENDOSCOPIC PARTIAL LARYNGECTOMY,Partial laryngectomy,Complex,Yes
Urology,ENDOSCOPIC REMOVAL OF URETHRAL STENT,Diagnostic endoscopic examination of urethra (as sole procedure) (including cystoscopy),Minor,No
Urology,ENDOSCOPIC RENEWAL OF TUBAL PROSTHESIS INTO URETER,Endoscopic removal and insertion of prosthesis into ureter (including cystoscopy),Major,No
Urology,ENDOSCOPIC RESECTION OF PROSTATE USING AN ELECTROTOME,Endoscopic resection of prostate (TUR) (including cystoscopy),Major,No
,ENDOSCOPIC RESECTION OF PROSTATE USING AN ELECTROTOME,Endoscopic resection of prostate (TUR) (including cystoscopy),Major,No
Bariatrics,ENDOSCOPIC RETROGRADE CHOLANGIOPANCREATOGRAPHY WITH REPLACEMENT OF BILE DUCT STENT,"Therapeutic ERCP with insertion of biliary or pancreatic stent(s), sphincterotomy or stone extraction",Major,No
Urology,ENDOSCOPIC RETROGRADE PYELOGRAM,Endoscopic retrograde pyelography (including bilateral and cystoscopy),Intermediate,No
,ENDOSCOPIC RETROGRADE PYELOGRAM,Endoscopic retrograde pyelography (including bilateral and cystoscopy),Intermediate,No
Head and Neck,ENDOSCOPIC STAPLING OF PHARYNGEAL POUCH,Open operation(s) on pharyngeal pouch,Major,No
Gynaecology,ENDOSCOPIC SUSPENSION OF UTERUS,Ventrosuspension of uterus (including laparoscopic),Intermediate,No
ENT,ENDOSCOPIC VOCAL CORD MEDIALISATION,Laser surgery to vocal cord (including microlaryngoscopy),Intermediate,No
Head and Neck,ENDOSCOPY,Therapeutic oesophago-gastro-duodenoscopy (OGD) with dilatation,Minor,No
,ENDOSCOPY,Therapeutic oesophago-gastro-duodenoscopy (OGD) with dilatation,Minor,No
Urology,ENDOSCOPY,Therapeutic oesophago-gastro-duodenoscopy (OGD) with dilatation,Minor,No
Head and Neck,ENDOSCOPY AND WASHING,Panendoscopy +/- incisional biopsy,Intermediate,No
Urology,ENDOSCOPY OF ILEAL CONDUIT,Diagnostic ureterorenoscopy (+/- cystoscopy),Minor,No
Urology,ENDOSCOPY OF ILEAL CONDUIT - CONDUITOSCOPY,Diagnostic ureterorenoscopy (+/- cystoscopy),Minor,No
,ENDOSCOPY OF ILEAL CONDUIT - CONDUITOSCOPY,Diagnostic ureterorenoscopy (+/- cystoscopy),Minor,No
Head and Neck,ENDOSCOPY OF PHARYNX,Panendoscopy +/- incisional biopsy,Intermediate,No
ENT,"ENDOSCOPY OF PHARYNX, TRACHEA AND OESOPHAGUS","Therapeutic Panendoscopy +/- excision biopsy, excision or destruction of lesions",Intermediate,No
Vascular Surgery,ENDOVASCULAR LASER ABLATION OF VARICOSE VEIN OF LEG,Endovenous mechanochemical ablation for varicose veins - unilateral,Intermediate,No
Vascular Surgery,ENDOVENOUS RADIOFREQUENCY OBLITERATION OF VARICOSE VEIN OF LOWER LIMB,Radiofrequency ablation of more than one venous trunk +/- phlebectomies - unilateral,Intermediate,No
Head and Neck,ENUCLEATION OF CYST OF SKIN,"Excision of lesion of skin or subcutaneous tissue - up to three, Head & Neck (excluding lipoma)",Minor,No
Head and Neck,ENUCLEATION OF DENTAL CYST OF JAW,Enucleation of cyst of jaw,Intermediate,No
Maxillo-Facial Surgery,ENUCLEATION OF DENTAL CYST OF JAW,Enucleation of cyst of jaw,Intermediate,No
Head and Neck,ENUCLEATION OF DENTAL CYST OF UPPER JAW,Enucleation of cyst of jaw,Intermediate,No
Oral Surgery,ENUCLEATION OF LESION OF MANDIBLE,Excision of lesion of jaw,Intermediate,No
Head and Neck,ENUCLEATION OF LESION OF MANDIBLE,Excision of lesion of jaw,Intermediate,No
Head and Neck,ENUCLEATION OF LESION OF MAXILLA,Excision of lesion of jaw,Intermediate,No
Urology,EPIDIDYMECTOMY,Unilateral epididymectomy,Minor,No
Urology,EPIDIDYMIS RECONSTRUCTION,Excision of epididymal cyst,Intermediate,No
Bariatrics,EPIGASTRIC HERNIOPLASTY,Repair of umbilical/paraumbilical hernia (irrespective of age),Intermediate,No
Colorectal Surgery,EPIPLOECTOMY,Wedge excision or removal of omentum (as sole procedure),Major,No
Head and Neck,ETHMOIDECTOMY AND TURBINECTOMY,"FESS Uncinectomy, ethmoidectomy, antrostomy or antral puncture inc polypectomy and attention to turbinates etc",Major,No
ENT,EUSTACHIAN TUBOPLASTY,Balloon dilatation of the eustachian tube,Intermediate,No
Thoracic Surgery,EVACUATION OF HAEMATOMA,Drainage of large subcutaneous abscess/haematoma,Minor,No
Urology,EVACUATION OF HAEMATOMA,Drainage of large subcutaneous abscess/haematoma,Minor,No
,EVACUATION OF HAEMATOMA,Drainage of large subcutaneous abscess/haematoma,Minor,No
Gynaecology,EVACUATION OF RETAINED PRODUCT OF CONCEPTION,Hysteroscopic Removal Of Retained Products Of Conception,Major,No
,EVACUATION OF RETAINED PRODUCT OF CONCEPTION,Hysteroscopic Removal Of Retained Products Of Conception,Major,No
ENT,EXAMINATION OF PHARYNX UNDER ANAESTHETIC,-,Minor,No
Head and Neck,EXAMINATION OF PHARYNX UNDER ANAESTHETIC,-,Minor,No
Urology,EXAMINATION UNDER ANAESTHESIA,-,Minor,No
ENT,EXAMINATION UNDER ANAESTHETIC OF POSTNASAL SPACE,-,Minor,No
,EXAMINATION UNDER GENERAL ANAESTHESIA (EUA),-,Minor,No
Colorectal Surgery,EXAMINATION UNDER GENERAL ANAESTHESIA (EUA),-,Minor,No
Urology,EXAMINATION UNDER GENERAL ANAESTHESIA (EUA),-,Minor,No
Head and Neck,EXAMINATION UNDER GENERAL ANAESTHESIA (EUA),-,Minor,No
Gynaecology,EXAMINATION UNDER GENERAL ANAESTHESIA (EUA),-,Minor,No
General Surgery,EXAMINATION UNDER GENERAL ANAESTHESIA (EUA),-,Minor,No
Paediatric Urology,EXAMINATION UNDER GENERAL ANAESTHESIA (EUA),-,Minor,No
ENT,EXAMINATION UNDER GENERAL ANAESTHESIA (EUA),-,Minor,No
Paediatric Surgery,EXAMINATION UNDER GENERAL ANAESTHESIA (EUA),-,Minor,No
Orthopaedics,EXAMINATION UNDER GENERAL ANAESTHESIA (EUA),-,Minor,No
Gynaecology Oncology,EXAMINATION UNDER GENERAL ANAESTHESIA (EUA),-,Minor,No
Maxillo-Facial Surgery,EXAMINATION UNDER GENERAL ANAESTHESIA (EUA),-,Minor,No
Emergency Surgery,EXAMINATION UNDER GENERAL ANAESTHESIA (EUA),-,Minor,No
Orthopaedics,EXCHANGE OF BEARING COMPONENT OF ARTHROPLASTY,Revision of total replacement of knee joint,Complex,No
Gynaecology,EXCISION,-,Unknown,No
Urology,EXCISION,-,Unknown,No
Head and Neck,EXCISION,-,Unknown,No
Orthopaedics,EXCISION ARTHROPLASTY,Excision reconstruction of large joint,Major,No
Orthopaedics,EXCISION ARTHROPLASTY OF THE RADIAL HEAD,Excision of radial head (as sole procedure),Major,No
Head and Neck,EXCISION BIOPSY OF LESION OF PALATE,FIBRE OPTIC EXAMINATION OF THE PHARYNX +/- BIOPSY/REMOVAL OF FOREIGN BODY,Minor,No
Gynaecology,EXCISION BIOPSY OF SKIN LESION,"Excision of lesion of skin or subcutaneous tissue - up to three, Trunk & Limbs (excluding lipoma)",Minor,No
Urology,EXCISION BIOPSY OF SKIN LESION,"Excision of lesion of skin or subcutaneous tissue - up to three, Trunk & Limbs (excluding lipoma)",Minor,No
Bariatrics,EXCISION BIOPSY OF SKIN LESION,"Excision of lesion of skin or subcutaneous tissue - up to three, Trunk & Limbs (excluding lipoma)",Minor,No
Gynaecology,EXCISION BIOPSY OF VULVAL LESION,Biopsy of lesion of vulva,Minor,No
Colorectal Surgery,EXCISION FROM RETROPERITONEUM,"Excision of retroperitoneal tumour, +/-ureterolysis",Xmajor,Yes
Colorectal Surgery,EXCISION OF ANAL POLYP,Excision of lesion of anus,Minor,No
General Surgery,EXCISION OF ANAL SKIN TAG,Perianal excision of lesion of rectum (including sigmoidoscopy),Intermediate,No
Colorectal Surgery,EXCISION OF ANAL SKIN TAG,Perianal excision of lesion of rectum (including sigmoidoscopy),Intermediate,No
Head and Neck,"EXCISION OF AURAL GLOMUS TUMOUR, EXTENDED, EXTRATEMPORAL",Middle ear tumour excision,Major,No
Paediatric ENT,"EXCISION OF AURAL GLOMUS TUMOUR, TRANSCANAL",Middle ear tumour excision,Major,No
ENT,"EXCISION OF AURAL GLOMUS TUMOUR, TRANSCANAL",Middle ear tumour excision,Major,No
ENT,"EXCISION OF AURAL GLOMUS TUMOUR, TRANSMASTOID",Simple mastoidectomy,Major,No
ENT,EXCISION OF AURAL POLYP,Excision of lesion of external auditory canal,Minor,No
Breast Surgery,EXCISION OF AXILLARY LYMPH NODES,Sentinel node mapping +/- sampling with magnetic lymphatic tracer for breast cancer.,Intermediate,No
Urology,EXCISION OF BARTHOLIN'S GLAND,Excision of Bartholin gland,Intermediate,No
Head and Neck,EXCISION OF BASAL CELL CARCINOMA,Primary excision of malignant lesion - head and neck,Intermediate,No
Head and Neck,EXCISION OF BENIGN NEOPLASM,-,Major,No
Head and Neck,EXCISION OF BENIGN SALIVARY NEOPLASM,Excision of sublingual gland,Intermediate,No
Breast Surgery,EXCISION OF BENIGN TUMOUR OF BREAST,Excision of breast lump/fibroadenoma,Intermediate,No
Orthopaedics,EXCISION OF BONE FRAGMENTS OF JOINT,Therapeutic arthroscopic operation on cavity of joint (not otherwise specified) (as sole procedure),Major,No
Head and Neck,EXCISION OF BRANCHIAL CYST,Operations on branchial cyst,Intermediate,No
,EXCISION OF BUCCAL MUCOSA,Removal of excess mucosa from mouth,Intermediate,No
Maxillo-Facial Surgery,EXCISION OF BUCCAL MUCOSA,Removal of excess mucosa from mouth,Intermediate,No
Thoracic Surgery,EXCISION OF BULLA OF LUNG,Thoracotomy bullectomy - unilateral +/- pleurodesis in presence of emphysema,Xmajor,Yes
Orthopaedics,EXCISION OF BUNIONETTE,Excision of medial eminence 1st or 5th MT head with soft tissue repair (bunionectomy),Intermediate,No
Head and Neck,EXCISION OF CERVICAL LYMPH NODE,Radical dissection of cervical lymph nodes,Minor,Yes
,EXCISION OF CERVICAL LYMPH NODE,Biopsy/sampling of cervical lymph nodes,Minor,No
Head and Neck,EXCISION OF CYST,Enucleation of cyst of jaw,Intermediate,No
Thoracic Surgery,EXCISION OF CYST,-,Minor,No
Gynaecology,EXCISION OF CYST,Ovarian cystectomy +/- omental biopsy (as sole procedure and including bilateral),Minor,No
Gynaecology Oncology,EXCISION OF CYST,Ovarian cystectomy +/- omental biopsy (as sole procedure and including bilateral),Major,No
Oral Surgery,EXCISION OF CYST,Enucleation of cyst of jaw,Intermediate,No
Urology,EXCISION OF CYST,Marsupialisation of Bartholin cyst,Intermediate,No
